date,demand,RRP,temp_ave,solar_exposure
28/03/2019,113923.16,108.460275,19.75,17.8
29/03/2019,110768.285,83.98953774,21.55,4.9
30/03/2019,101262.655,85.16593486,12.35,11.4
31/03/2019,101119.835,94.38958823,13.95,8
1/04/2019,116817.43,131.3335309,15.05,6.6
2/04/2019,114927.205,119.3975507,16.65,16.6
3/04/2019,115188.76,112.9080676,17.05,10.9
4/04/2019,113763.835,116.7564884,17.6,13.9
5/04/2019,111484.73,98.53030197,21.45,15.3
6/04/2019,102229.645,103.2729949,18.3,12.4
7/04/2019,93590.425,86.80268601,18,15.9
8/04/2019,108543.635,113.1340539,17.8,9
9/04/2019,111999.04,106.3359468,13.7,13.9
10/04/2019,120858.98,121.8751363,13.25,4.8
11/04/2019,116890.61,126.8896051,14.3,14.4
12/04/2019,114848.77,128.7232047,15.8,15.3
13/04/2019,105963.555,122.4421606,15.6,10
14/04/2019,98680,111.731646,17.15,14.4
15/04/2019,114194.955,113.1121728,20.15,10.9
16/04/2019,115392.875,100.0056174,23.7,14.4
17/04/2019,117281.13,100.1096387,26.05,12.8
18/04/2019,111360.065,84.83386371,15.45,12.8
19/04/2019,95967.405,78.14244558,15.35,14
20/04/2019,95654.36,66.87481389,20.2,13.9
21/04/2019,94810.665,80.07625848,20.9,7.5
22/04/2019,100246.51,95.10738692,15.65,6
23/04/2019,114240.885,89.62898584,14.8,8
24/04/2019,113264.23,86.74929284,18.9,8.2
25/04/2019,98112.465,62.60573067,15.85,10.6
26/04/2019,107226.59,60.91838254,13.85,6.9
27/04/2019,105374.93,79.62008598,12.45,8.5
28/04/2019,101057.43,86.02286062,14.9,5.2
29/04/2019,118307.525,121.0296417,14.8,8.4
30/04/2019,110515.6,96.95170577,15.5,11.7
1/05/2019,111462.385,90.5638369,19.2,7.8
2/05/2019,112948.4,103.5866148,18.65,6.2
3/05/2019,110902.185,101.1629982,16.25,9
4/05/2019,103616.145,103.3834967,14.7,8.2
5/05/2019,104770.705,108.0955559,13.8,6.5
6/05/2019,121535.485,112.5055846,14.2,8.5
7/05/2019,116318.435,94.75371448,13.05,11.7
8/05/2019,118801.84,114.5284513,13.85,7.3
9/05/2019,122003.335,113.6303305,12.95,5.3
10/05/2019,123850.86,93.13527687,12.2,2.8
11/05/2019,113186.735,87.03653305,13.3,7.7
12/05/2019,110416.88,87.37738174,14.95,6.6
13/05/2019,119598.605,77.15737698,15.4,8.3
14/05/2019,123005.31,89.82269178,15.75,9
15/05/2019,126264.775,100.6447738,13.9,8
16/05/2019,127389.485,98.94296433,13.3,9.8
17/05/2019,126934.24,96.78385886,12.55,10.7
18/05/2019,112990.635,86.4417851,13.85,10.6
19/05/2019,104054.85,76.29416809,15.35,10
20/05/2019,118733.42,93.3443643,15.8,3.1
21/05/2019,121766.77,104.5578083,15.75,6.9
22/05/2019,122015.59,115.8944559,16.5,10.3
23/05/2019,119118.11,88.38713619,15.6,10.2
24/05/2019,118924.765,91.54712449,17,4.4
25/05/2019,104949.95,74.26293512,16.75,9.1
26/05/2019,106153.43,63.90308214,12.3,8.6
27/05/2019,130229.295,87.61101403,10.9,7.2
28/05/2019,133799.655,79.96477454,11.95,3.3
29/05/2019,136301.49,85.0039422,9.65,7.9
30/05/2019,138857.135,100.0150103,10,5.8
