date,demand,RRP,frac_at_neg_RRP,min_temperature,max_temperature,temp_ave,solar_exposure
4/03/2019,136528.81,135.2064474,0,19,24.6,21.8,21.8
5/03/2019,126073.53,118.2619446,0,18,24.3,21.15,15.5
6/03/2019,108723.615,75.98119137,0,13.2,17.2,15.2,19.5
7/03/2019,114519.865,103.1975585,0,9.7,22.1,15.9,21.2
8/03/2019,117281.2,106.9388027,0,11.3,26.8,19.05,10.2
9/03/2019,106854.935,95.07842459,0,13.9,24.7,19.3,20
10/03/2019,101994.055,74.37493203,0,14.3,23.7,19,10.1
11/03/2019,103219.08,81.47204007,0,15.9,21.8,18.85,18.6
12/03/2019,110086.7,76.97154796,0,15.8,19.2,17.5,10.8
13/03/2019,114740.52,122.2385811,0,11.9,18.6,15.25,15.1
14/03/2019,112785.78,126.7859571,0,12.1,20.8,16.45,20.6
15/03/2019,111179.125,102.6085151,0,11.7,22.2,16.95,18.7
16/03/2019,105119.48,95.25118781,0,12.2,25.6,18.9,20.1
17/03/2019,105669.045,103.9571924,0,14.2,25.6,19.9,19.2
18/03/2019,121954.385,111.1497946,0,16.5,28.2,22.35,18.9
19/03/2019,123290.835,113.6447743,0,16.9,23.4,20.15,12.7
20/03/2019,123994.3,127.2765992,0,19.3,23.4,21.35,11.1
21/03/2019,124181.405,115.460165,0,18.2,24.3,21.25,12.5
22/03/2019,128305.64,111.2407066,0,18.7,28.6,23.65,15.3
23/03/2019,109147.65,98.95473172,0,19.9,31.3,25.6,13.6
24/03/2019,104226.83,97.85759965,0,16.5,29.3,22.9,16.9
25/03/2019,107583.935,80.29292737,0,14.8,19,16.9,13.6
26/03/2019,108840.18,95.56789356,0,12.3,20.3,16.3,15.9
27/03/2019,113307.595,114.1613715,0,11.1,21.7,16.4,17.8
28/03/2019,113923.16,108.460275,0,11.6,27.9,19.75,17.8
29/03/2019,110768.285,83.98953774,0,14.6,28.5,21.55,4.9
30/03/2019,101262.655,85.16593486,0,9.1,15.6,12.35,11.4
31/03/2019,101119.835,94.38958823,0,9.4,18.5,13.95,8
1/04/2019,116817.43,131.3335309,0,13,17.1,15.05,6.6
2/04/2019,114927.205,119.3975507,0,7.4,25.9,16.65,16.6
3/04/2019,115188.76,112.9080676,0,9.4,24.7,17.05,10.9
4/04/2019,113763.835,116.7564884,0,13.3,21.9,17.6,13.9
5/04/2019,111484.73,98.53030197,0,14.4,28.5,21.45,15.3
6/04/2019,102229.645,103.2729949,0,16.5,20.1,18.3,12.4
7/04/2019,93590.425,86.80268601,0.020833334,9.5,26.5,18,15.9
8/04/2019,108543.635,113.1340539,0,12.5,23.1,17.8,9
9/04/2019,111999.04,106.3359468,0,11.1,16.3,13.7,13.9
10/04/2019,120858.98,121.8751363,0,10.7,15.8,13.25,4.8
11/04/2019,116890.61,126.8896051,0,11.3,17.3,14.3,14.4
12/04/2019,114848.77,128.7232047,0,6.7,24.9,15.8,15.3
13/04/2019,105963.555,122.4421606,0,10.5,20.7,15.6,10
14/04/2019,98680,111.731646,0,11.8,22.5,17.15,14.4
15/04/2019,114194.955,113.1121728,0,12.9,27.4,20.15,10.9
16/04/2019,115392.875,100.0056174,0,17.1,30.3,23.7,14.4
